region_name,state,year,arrests,population,arrest_popu
West,AK,2000,21354,626932,0.034061
West,AK,2001,20267,634892,0.031922
West,AK,2002,19818,643893,0.030778
West,AK,2003,22746,648921,0.035052
West,AK,2004,21027,655932,0.032057
West,AK,2005,22266,664150,0.033526
West,AK,2006,21863,670527,0.032606
West,AK,2007,22927,683918,0.033523
West,AK,2008,23074,686732,0.0336
West,AK,2009,25193,698901,0.036047
West,AK,2010,26013,711456,0.036563
West,AK,2011,24738,725910,0.034079
West,AK,2012,18316,735190,0.024913
West,AK,2013,18876,739005,0.025542
West,AK,2014,15475,740644,0.020894
West,AK,2015,18379,743350,0.024725
West,AK,2016,18123,747188,0.024255
West,AK,2017,18421,744849,0.024731
West,AK,2018,19551,742552,0.026329
South,AL,2000,105172,4488050,0.023434
South,AL,2001,112383,4502059,0.024963
South,AL,2002,123707,4516995,0.027387
South,AL,2003,128910,4531274,0.028449
South,AL,2004,129373,4550680,0.028429
South,AL,2005,110115,4575157,0.024068
South,AL,2006,99804,4616525,0.021619
South,AL,2007,122305,4646319,0.026323
South,AL,2008,130248,4684189,0.027806
South,AL,2009,118120,4732747,0.024958
South,AL,2010,85352,4792630,0.017809
South,AL,2011,1676,4815348,0.000348
South,AL,2012,1597,4834334,0.00033
South,AL,2013,1807,4845981,0.000373
South,AL,2014,2480,4861676,0.00051
South,AL,2015,85453,4883134,0.0175
South,AL,2016,88350,4885591,0.018084
South,AL,2017,77342,4894285,0.015803
South,AL,2018,76309,4906885,0.015551
South,AR,2000,124856,2902270,0.04302
South,AR,2001,109570,3075959,0.035621
South,AR,2002,83854,3211957,0.026107
South,AR,2003,90170,3593973,0.025089
South,AR,2004,95911,3214060,0.029841
South,AR,2005,103396,3279873,0.031524
South,AR,2006,102136,3274403,0.031192
South,AR,2007,69928,3218201,0.021729
South,AR,2008,88688,3002258,0.02954
South,AR,2009,87313,2977838,0.029321
South,AR,2010,80617,3034697,0.026565
South,AR,2011,77941,3020076,0.025808
South,AR,2012,79201,3082595,0.025693
South,AR,2013,73160,3109825,0.023525
South,AR,2014,66816,3142848,0.02126
South,AR,2015,71651,3158605,0.022684
South,AR,2016,74288,3098083,0.023979
South,AR,2017,71449,3021597,0.023646
South,AR,2018,75950,3031153,0.025056
West,AZ,2000,207481,5142271,0.040348
West,AZ,2001,214785,5356370,0.040099
West,AZ,2002,220432,5502666,0.040059
West,AZ,2003,223087,5637404,0.039573
West,AZ,2004,232119,5995349,0.038717
West,AZ,2005,222729,6208207,0.035877
West,AZ,2006,228189,6425124,0.035515
West,AZ,2007,238411,6558098,0.036354
West,AZ,2008,248799,6733608,0.036949
West,AZ,2009,245037,6609085,0.037076
West,AZ,2010,219409,6404623,0.034258
West,AZ,2011,210903,6505261,0.03242
West,AZ,2012,200009,6669918,0.029987
West,AZ,2013,203930,6646289,0.030683
West,AZ,2014,192180,6753058,0.028458
West,AZ,2015,170440,6851271,0.024877
West,AZ,2016,199277,6951468,0.028667
West,AZ,2017,209542,7037119,0.029777
West,AZ,2018,190508,7192613,0.026487
West,CA,2000,1116456,33974269,0.032862
West,CA,2001,1114899,34608064,0.032215
West,CA,2002,1114495,35222901,0.031641
West,CA,2003,1148342,35592667,0.032263
West,CA,2004,1106368,36003471,0.030729
West,CA,2005,1169692,36243236,0.032273
West,CA,2006,1195801,36572532,0.032697
West,CA,2007,1190528,36672767,0.032464
West,CA,2008,1189234,36876276,0.032249
West,CA,2009,1125356,37061435,0.030365
West,CA,2010,1071098,37346022,0.02868
West,CA,2011,877549,37819249,0.023204
West,CA,2012,944487,38183375,0.024736
West,CA,2013,920261,38498377,0.023904
West,CA,2014,920942,38970399,0.023632
West,CA,2015,863218,39315550,0.021956
West,CA,2016,836838,39421283,0.021228
West,CA,2017,810965,39713887,0.02042
West,CA,2018,802521,39735951,0.020196
West,CO,2000,160264,4739066,0.033818
West,CO,2001,165471,4946322,0.033453
West,CO,2002,155365,4648662,0.033421
West,CO,2003,147612,4703735,0.031382
