state,year,race,offense,offenders
AL,2010,Asian,aggravated-assault,0
AL,2011,Asian,aggravated-assault,0
AL,2012,Asian,aggravated-assault,0
AL,2013,Asian,aggravated-assault,0
AL,2014,Asian,aggravated-assault,0
AL,2015,Asian,aggravated-assault,0
AL,2016,Asian,aggravated-assault,0
AL,2017,Asian,aggravated-assault,0
AL,2018,Asian,aggravated-assault,0
AL,2010,Native Hawaiian,aggravated-assault,0
AL,2011,Native Hawaiian,aggravated-assault,0
AL,2012,Native Hawaiian,aggravated-assault,0
AL,2013,Native Hawaiian,aggravated-assault,0
AL,2014,Native Hawaiian,aggravated-assault,0
AL,2015,Native Hawaiian,aggravated-assault,0
AL,2016,Native Hawaiian,aggravated-assault,0
AL,2017,Native Hawaiian,aggravated-assault,0
AL,2018,Native Hawaiian,aggravated-assault,0
AL,2010,Black or African American,aggravated-assault,12
AL,2011,Black or African American,aggravated-assault,13
AL,2012,Black or African American,aggravated-assault,12
AL,2013,Black or African American,aggravated-assault,17
AL,2014,Black or African American,aggravated-assault,21
AL,2015,Black or African American,aggravated-assault,25
AL,2016,Black or African American,aggravated-assault,26
AL,2017,Black or African American,aggravated-assault,19
AL,2018,Black or African American,aggravated-assault,6
AL,2010,American Indian or Alaska Native,aggravated-assault,0
AL,2011,American Indian or Alaska Native,aggravated-assault,0
AL,2012,American Indian or Alaska Native,aggravated-assault,0
AL,2013,American Indian or Alaska Native,aggravated-assault,0
AL,2014,American Indian or Alaska Native,aggravated-assault,0
AL,2015,American Indian or Alaska Native,aggravated-assault,0
AL,2016,American Indian or Alaska Native,aggravated-assault,0
AL,2017,American Indian or Alaska Native,aggravated-assault,0
AL,2018,American Indian or Alaska Native,aggravated-assault,0
AL,2010,White,aggravated-assault,9
AL,2011,White,aggravated-assault,4
AL,2012,White,aggravated-assault,13
AL,2013,White,aggravated-assault,9
AL,2014,White,aggravated-assault,10
AL,2015,White,aggravated-assault,21
AL,2016,White,aggravated-assault,15
AL,2017,White,aggravated-assault,12
AL,2018,White,aggravated-assault,5
AL,2010,Unknown,aggravated-assault,0
AL,2011,Unknown,aggravated-assault,0
AL,2012,Unknown,aggravated-assault,0
AL,2013,Unknown,aggravated-assault,0
AL,2014,Unknown,aggravated-assault,0
AL,2015,Unknown,aggravated-assault,2
AL,2016,Unknown,aggravated-assault,1
AL,2017,Unknown,aggravated-assault,0
AL,2018,Unknown,aggravated-assault,4
AL,2010,Asian,burglary,2
AL,2011,Asian,burglary,0
AL,2012,Asian,burglary,0
AL,2013,Asian,burglary,0
AL,2014,Asian,burglary,1
AL,2015,Asian,burglary,4
AL,2016,Asian,burglary,0
AL,2017,Asian,burglary,2
AL,2018,Asian,burglary,0
AL,2010,Native Hawaiian,burglary,0
AL,2011,Native Hawaiian,burglary,0
AL,2012,Native Hawaiian,burglary,0
AL,2013,Native Hawaiian,burglary,0
AL,2014,Native Hawaiian,burglary,0
AL,2015,Native Hawaiian,burglary,0
AL,2016,Native Hawaiian,burglary,0
AL,2017,Native Hawaiian,burglary,0
AL,2018,Native Hawaiian,burglary,0
AL,2010,Black or African American,burglary,92
AL,2011,Black or African American,burglary,98
AL,2012,Black or African American,burglary,73
AL,2013,Black or African American,burglary,52
AL,2014,Black or African American,burglary,88
AL,2015,Black or African American,burglary,57
AL,2016,Black or African American,burglary,45
AL,2017,Black or African American,burglary,42
AL,2018,Black or African American,burglary,17
AL,2010,American Indian or Alaska Native,burglary,0
AL,2011,American Indian or Alaska Native,burglary,0
AL,2012,American Indian or Alaska Native,burglary,0
AL,2013,American Indian or Alaska Native,burglary,0
AL,2014,American Indian or Alaska Native,burglary,0
AL,2015,American Indian or Alaska Native,burglary,0
AL,2016,American Indian or Alaska Native,burglary,0
AL,2017,American Indian or Alaska Native,burglary,0
AL,2018,American Indian or Alaska Native,burglary,0
AL,2010,White,burglary,60
AL,2011,White,burglary,79
AL,2012,White,burglary,102
AL,2013,White,burglary,54
AL,2014,White,burglary,41
AL,2015,White,burglary,51
AL,2016,White,burglary,34
AL,2017,White,burglary,38
AL,2018,White,burglary,32
AL,2010,Unknown,burglary,5
AL,2011,Unknown,burglary,15
AL,2012,Unknown,burglary,2
AL,2013,Unknown,burglary,1
AL,2014,Unknown,burglary,2
AL,2015,Unknown,burglary,6
AL,2016,Unknown,burglary,2
AL,2017,Unknown,burglary,3
AL,2018,Unknown,burglary,99
AL,2010,Asian,larceny,6
AL,2011,Asian,larceny,14
AL,2012,Asian,larceny,7
AL,2013,Asian,larceny,9
AL,2014,Asian,larceny,10
AL,2015,Asian,larceny,14
AL,2016,Asian,larceny,1
AL,2017,Asian,larceny,3
AL,2018,Asian,larceny,1
AL,2010,Native Hawaiian,larceny,0
AL,2011,Native Hawaiian,larceny,0
AL,2012,Native Hawaiian,larceny,0
AL,2013,Native Hawaiian,larceny,0
AL,2014,Native Hawaiian,larceny,0
AL,2015,Native Hawaiian,larceny,0
AL,2016,Native Hawaiian,larceny,0
AL,2017,Native Hawaiian,larceny,0
AL,2018,Native Hawaiian,larceny,0
AL,2010,Black or African American,larceny,536
AL,2011,Black or African American,larceny,469
AL,2012,Black or African American,larceny,596
AL,2013,Black or African American,larceny,713
AL,2014,Black or African American,larceny,646
AL,2015,Black or African American,larceny,622
AL,2016,Black or African American,larceny,239
AL,2017,Black or African American,larceny,143
AL,2018,Black or African American,larceny,178
AL,2010,American Indian or Alaska Native,larceny,0
AL,2011,American Indian or Alaska Native,larceny,0
AL,2012,American Indian or Alaska Native,larceny,0
AL,2013,American Indian or Alaska Native,larceny,0
AL,2014,American Indian or Alaska Native,larceny,0
AL,2015,American Indian or Alaska Native,larceny,2
AL,2016,American Indian or Alaska Native,larceny,0
AL,2017,American Indian or Alaska Native,larceny,0
AL,2018,American Indian or Alaska Native,larceny,0
AL,2010,White,larceny,534
AL,2011,White,larceny,557
AL,2012,White,larceny,614
AL,2013,White,larceny,640
AL,2014,White,larceny,744
AL,2015,White,larceny,828
AL,2016,White,larceny,203
AL,2017,White,larceny,122
AL,2018,White,larceny,137
AL,2010,Unknown,larceny,13
AL,2011,Unknown,larceny,24
AL,2012,Unknown,larceny,12
AL,2013,Unknown,larceny,15
AL,2014,Unknown,larceny,8
AL,2015,Unknown,larceny,29
AL,2016,Unknown,larceny,21
AL,2017,Unknown,larceny,4
AL,2018,Unknown,larceny,465
AL,2010,Asian,motor-vehicle-theft,0
AL,2011,Asian,motor-vehicle-theft,3
AL,2012,Asian,motor-vehicle-theft,0
