year,gender,offense,state,value
2010,Male,aggravated-assault,AL,13
2011,Male,aggravated-assault,AL,11
2012,Male,aggravated-assault,AL,15
2013,Male,aggravated-assault,AL,21
2014,Male,aggravated-assault,AL,25
2015,Male,aggravated-assault,AL,40
2016,Male,aggravated-assault,AL,32
2017,Male,aggravated-assault,AL,25
2018,Male,aggravated-assault,AL,9
2010,Female,aggravated-assault,AL,8
2011,Female,aggravated-assault,AL,6
2012,Female,aggravated-assault,AL,10
2013,Female,aggravated-assault,AL,4
2014,Female,aggravated-assault,AL,6
2015,Female,aggravated-assault,AL,8
2016,Female,aggravated-assault,AL,10
2017,Female,aggravated-assault,AL,6
2018,Female,aggravated-assault,AL,2
2010,Unknown,aggravated-assault,AL,0
2011,Unknown,aggravated-assault,AL,0
2012,Unknown,aggravated-assault,AL,0
2013,Unknown,aggravated-assault,AL,1
2014,Unknown,aggravated-assault,AL,0
2015,Unknown,aggravated-assault,AL,0
2016,Unknown,aggravated-assault,AL,0
2017,Unknown,aggravated-assault,AL,0
2018,Unknown,aggravated-assault,AL,4
2010,Male,burglary,AL,135
2011,Male,burglary,AL,155
2012,Male,burglary,AL,145
2013,Male,burglary,AL,95
2014,Male,burglary,AL,124
2015,Male,burglary,AL,101
2016,Male,burglary,AL,68
2017,Male,burglary,AL,64
2018,Male,burglary,AL,45
2010,Female,burglary,AL,24
2011,Female,burglary,AL,25
2012,Female,burglary,AL,29
2013,Female,burglary,AL,12
2014,Female,burglary,AL,8
2015,Female,burglary,AL,16
2016,Female,burglary,AL,12
2017,Female,burglary,AL,19
2018,Female,burglary,AL,4
2010,Unknown,burglary,AL,0
2011,Unknown,burglary,AL,12
2012,Unknown,burglary,AL,3
2013,Unknown,burglary,AL,0
2014,Unknown,burglary,AL,0
2015,Unknown,burglary,AL,1
2016,Unknown,burglary,AL,1
2017,Unknown,burglary,AL,2
2018,Unknown,burglary,AL,99
2010,Male,larceny,AL,568
2011,Male,larceny,AL,513
2012,Male,larceny,AL,698
2013,Male,larceny,AL,671
2014,Male,larceny,AL,782
2015,Male,larceny,AL,727
2016,Male,larceny,AL,238
2017,Male,larceny,AL,142
2018,Male,larceny,AL,190
2010,Female,larceny,AL,517
2011,Female,larceny,AL,541
2012,Female,larceny,AL,525
2013,Female,larceny,AL,700
2014,Female,larceny,AL,623
2015,Female,larceny,AL,756
2016,Female,larceny,AL,215
2017,Female,larceny,AL,125
2018,Female,larceny,AL,137
2010,Unknown,larceny,AL,4
2011,Unknown,larceny,AL,10
2012,Unknown,larceny,AL,6
2013,Unknown,larceny,AL,6
2014,Unknown,larceny,AL,3
2015,Unknown,larceny,AL,12
2016,Unknown,larceny,AL,11
2017,Unknown,larceny,AL,5
2018,Unknown,larceny,AL,454
2010,Male,motor-vehicle-theft,AL,49
2011,Male,motor-vehicle-theft,AL,44
2012,Male,motor-vehicle-theft,AL,38
2013,Male,motor-vehicle-theft,AL,49
2014,Male,motor-vehicle-theft,AL,34
2015,Male,motor-vehicle-theft,AL,17
2016,Male,motor-vehicle-theft,AL,16
2017,Male,motor-vehicle-theft,AL,19
2018,Male,motor-vehicle-theft,AL,10
2010,Female,motor-vehicle-theft,AL,17
2011,Female,motor-vehicle-theft,AL,15
2012,Female,motor-vehicle-theft,AL,17
2013,Female,motor-vehicle-theft,AL,14
2014,Female,motor-vehicle-theft,AL,7
2015,Female,motor-vehicle-theft,AL,5
2016,Female,motor-vehicle-theft,AL,3
2017,Female,motor-vehicle-theft,AL,2
2018,Female,motor-vehicle-theft,AL,3
2010,Unknown,motor-vehicle-theft,AL,2
