state,year,gender,offense,offenders
AL,2010,Male,aggravated-assault,13
AL,2011,Male,aggravated-assault,11
AL,2012,Male,aggravated-assault,15
AL,2013,Male,aggravated-assault,21
AL,2014,Male,aggravated-assault,25
AL,2015,Male,aggravated-assault,40
AL,2016,Male,aggravated-assault,32
AL,2017,Male,aggravated-assault,25
AL,2018,Male,aggravated-assault,9
AL,2010,Female,aggravated-assault,8
AL,2011,Female,aggravated-assault,6
AL,2012,Female,aggravated-assault,10
AL,2013,Female,aggravated-assault,4
AL,2014,Female,aggravated-assault,6
AL,2015,Female,aggravated-assault,8
AL,2016,Female,aggravated-assault,10
AL,2017,Female,aggravated-assault,6
AL,2018,Female,aggravated-assault,2
AL,2010,Unknown,aggravated-assault,0
AL,2011,Unknown,aggravated-assault,0
AL,2012,Unknown,aggravated-assault,0
AL,2013,Unknown,aggravated-assault,1
AL,2014,Unknown,aggravated-assault,0
AL,2015,Unknown,aggravated-assault,0
AL,2016,Unknown,aggravated-assault,0
AL,2017,Unknown,aggravated-assault,0
AL,2018,Unknown,aggravated-assault,4
AL,2010,Male,burglary,135
AL,2011,Male,burglary,155
AL,2012,Male,burglary,145
AL,2013,Male,burglary,95
AL,2014,Male,burglary,124
AL,2015,Male,burglary,101
AL,2016,Male,burglary,68
AL,2017,Male,burglary,64
AL,2018,Male,burglary,45
AL,2010,Female,burglary,24
AL,2011,Female,burglary,25
AL,2012,Female,burglary,29
AL,2013,Female,burglary,12
AL,2014,Female,burglary,8
AL,2015,Female,burglary,16
AL,2016,Female,burglary,12
AL,2017,Female,burglary,19
AL,2018,Female,burglary,4
AL,2010,Unknown,burglary,0
AL,2011,Unknown,burglary,12
AL,2012,Unknown,burglary,3
AL,2013,Unknown,burglary,0
AL,2014,Unknown,burglary,0
AL,2015,Unknown,burglary,1
AL,2016,Unknown,burglary,1
AL,2017,Unknown,burglary,2
AL,2018,Unknown,burglary,99
AL,2010,Male,larceny,568
AL,2011,Male,larceny,513
AL,2012,Male,larceny,698
AL,2013,Male,larceny,671
AL,2014,Male,larceny,782
AL,2015,Male,larceny,727
AL,2016,Male,larceny,238
AL,2017,Male,larceny,142
AL,2018,Male,larceny,190
AL,2010,Female,larceny,517
AL,2011,Female,larceny,541
AL,2012,Female,larceny,525
AL,2013,Female,larceny,700
AL,2014,Female,larceny,623
AL,2015,Female,larceny,756
AL,2016,Female,larceny,215
AL,2017,Female,larceny,125
AL,2018,Female,larceny,137
AL,2010,Unknown,larceny,4
AL,2011,Unknown,larceny,10
AL,2012,Unknown,larceny,6
AL,2013,Unknown,larceny,6
AL,2014,Unknown,larceny,3
AL,2015,Unknown,larceny,12
AL,2016,Unknown,larceny,11
AL,2017,Unknown,larceny,5
AL,2018,Unknown,larceny,454
AL,2010,Male,motor-vehicle-theft,49
AL,2011,Male,motor-vehicle-theft,44
AL,2012,Male,motor-vehicle-theft,38
AL,2013,Male,motor-vehicle-theft,49
AL,2014,Male,motor-vehicle-theft,34
AL,2015,Male,motor-vehicle-theft,17
AL,2016,Male,motor-vehicle-theft,16
AL,2017,Male,motor-vehicle-theft,19
AL,2018,Male,motor-vehicle-theft,10
AL,2010,Female,motor-vehicle-theft,17
AL,2011,Female,motor-vehicle-theft,15
AL,2012,Female,motor-vehicle-theft,17
AL,2013,Female,motor-vehicle-theft,14
AL,2014,Female,motor-vehicle-theft,7
AL,2015,Female,motor-vehicle-theft,5
AL,2016,Female,motor-vehicle-theft,3
AL,2017,Female,motor-vehicle-theft,2
AL,2018,Female,motor-vehicle-theft,3
AL,2010,Unknown,motor-vehicle-theft,2
AL,2011,Unknown,motor-vehicle-theft,0
AL,2012,Unknown,motor-vehicle-theft,0
AL,2013,Unknown,motor-vehicle-theft,2
AL,2014,Unknown,motor-vehicle-theft,0
AL,2015,Unknown,motor-vehicle-theft,0
AL,2016,Unknown,motor-vehicle-theft,1
AL,2017,Unknown,motor-vehicle-theft,1
AL,2018,Unknown,motor-vehicle-theft,42
AL,2010,Male,homicide,3
AL,2012,Male,homicide,2
AL,2013,Male,homicide,1
AL,2014,Male,homicide,1
AL,2015,Male,homicide,3
AL,2016,Male,homicide,4
AL,2017,Male,homicide,3
AL,2018,Male,homicide,2
AL,2010,Female,homicide,0
AL,2012,Female,homicide,0
AL,2013,Female,homicide,1
AL,2014,Female,homicide,0
AL,2015,Female,homicide,0
AL,2016,Female,homicide,0
AL,2017,Female,homicide,0
AL,2018,Female,homicide,0
AL,2010,Unknown,homicide,0
AL,2012,Unknown,homicide,0
AL,2013,Unknown,homicide,0
AL,2014,Unknown,homicide,0
AL,2015,Unknown,homicide,0
AL,2016,Unknown,homicide,0
AL,2017,Unknown,homicide,0
AL,2018,Unknown,homicide,2
AL,2010,Male,rape,4
AL,2011,Male,rape,7
AL,2012,Male,rape,18
AL,2013,Male,rape,13
AL,2014,Male,rape,17
AL,2015,Male,rape,22
AL,2016,Male,rape,21
AL,2017,Male,rape,21
AL,2018,Male,rape,15
AL,2010,Female,rape,0
AL,2011,Female,rape,0
AL,2012,Female,rape,0
AL,2013,Female,rape,0
AL,2014,Female,rape,0
AL,2015,Female,rape,0
AL,2016,Female,rape,0
AL,2017,Female,rape,0
AL,2018,Female,rape,0
AL,2010,Unknown,rape,0
AL,2011,Unknown,rape,0
AL,2012,Unknown,rape,0
AL,2013,Unknown,rape,0
AL,2014,Unknown,rape,0
AL,2015,Unknown,rape,0
AL,2016,Unknown,rape,0
AL,2017,Unknown,rape,0
AL,2018,Unknown,rape,0
AL,2010,Male,robbery,70
AL,2011,Male,robbery,55
AL,2012,Male,robbery,63
AL,2013,Male,robbery,49
AL,2014,Male,robbery,57
AL,2015,Male,robbery,63
AL,2016,Male,robbery,47
AL,2017,Male,robbery,38
AL,2018,Male,robbery,28
AL,2010,Female,robbery,9
AL,2011,Female,robbery,8
AL,2012,Female,robbery,10
AL,2013,Female,robbery,3
AL,2014,Female,robbery,11
AL,2015,Female,robbery,5
AL,2016,Female,robbery,10
AL,2017,Female,robbery,4
AL,2018,Female,robbery,4
AL,2010,Unknown,robbery,0
AL,2011,Unknown,robbery,0
AL,2012,Unknown,robbery,0
AL,2013,Unknown,robbery,1
AL,2014,Unknown,robbery,0
AL,2015,Unknown,robbery,1
AL,2016,Unknown,robbery,0
AL,2017,Unknown,robbery,0
AL,2018,Unknown,robbery,3
AL,2010,Male,arson,2
AL,2011,Male,arson,2
AL,2012,Male,arson,1
AL,2013,Male,arson,0
AL,2014,Male,arson,1
AL,2015,Male,arson,0
AL,2016,Male,arson,2
AL,2017,Male,arson,1
AL,2010,Female,arson,0
AL,2011,Female,arson,0
AL,2012,Female,arson,1
AL,2013,Female,arson,0
AL,2014,Female,arson,0
AL,2015,Female,arson,0
AL,2016,Female,arson,1
AL,2017,Female,arson,0
AL,2010,Unknown,arson,0
AL,2011,Unknown,arson,0
AL,2012,Unknown,arson,0
AL,2013,Unknown,arson,0
AL,2014,Unknown,arson,0
AL,2015,Unknown,arson,0
AL,2016,Unknown,arson,0
AL,2017,Unknown,arson,0
AL,2010,Male,violent-crime,90
AL,2011,Male,violent-crime,73
AL,2012,Male,violent-crime,98
AL,2013,Male,violent-crime,84
AL,2014,Male,violent-crime,100
AL,2015,Male,violent-crime,128
AL,2016,Male,violent-crime,104
AL,2017,Male,violent-crime,87
AL,2018,Male,violent-crime,54
AL,2010,Female,violent-crime,17
AL,2011,Female,violent-crime,14
AL,2012,Female,violent-crime,20
AL,2013,Female,violent-crime,8
AL,2014,Female,violent-crime,17
AL,2015,Female,violent-crime,13
AL,2016,Female,violent-crime,20
AL,2017,Female,violent-crime,10
AL,2018,Female,violent-crime,6
AL,2010,Unknown,violent-crime,0
AL,2011,Unknown,violent-crime,0
AL,2012,Unknown,violent-crime,0
AL,2013,Unknown,violent-crime,2
AL,2014,Unknown,violent-crime,0
AL,2015,Unknown,violent-crime,1
AL,2016,Unknown,violent-crime,0
AL,2017,Unknown,violent-crime,0
AL,2018,Unknown,violent-crime,9
AL,2010,Male,property-crime,754
AL,2011,Male,property-crime,714
AL,2012,Male,property-crime,882
AL,2013,Male,property-crime,815
AL,2014,Male,property-crime,941
AL,2015,Male,property-crime,845
AL,2016,Male,property-crime,324
AL,2017,Male,property-crime,226
AL,2018,Male,property-crime,245
AL,2010,Female,property-crime,558
AL,2011,Female,property-crime,581
AL,2012,Female,property-crime,572
AL,2013,Female,property-crime,726
AL,2014,Female,property-crime,638
AL,2015,Female,property-crime,777
AL,2016,Female,property-crime,231
AL,2017,Female,property-crime,146
AL,2018,Female,property-crime,144
AL,2010,Unknown,property-crime,6
AL,2011,Unknown,property-crime,22
AL,2012,Unknown,property-crime,9
AL,2013,Unknown,property-crime,8
AL,2014,Unknown,property-crime,3
AL,2015,Unknown,property-crime,13
AL,2016,Unknown,property-crime,13
AL,2017,Unknown,property-crime,8
AL,2018,Unknown,property-crime,595
AR,2010,Male,aggravated-assault,7362
AR,2011,Male,aggravated-assault,7223
AR,2012,Male,aggravated-assault,7093
AR,2013,Male,aggravated-assault,6589
AR,2014,Male,aggravated-assault,6604
AR,2015,Male,aggravated-assault,7591
AR,2016,Male,aggravated-assault,7584
AR,2017,Male,aggravated-assault,7573
AR,2018,Male,aggravated-assault,7715
AR,2010,Female,aggravated-assault,2317
AR,2011,Female,aggravated-assault,2377
AR,2012,Female,aggravated-assault,2221
AR,2013,Female,aggravated-assault,2030
AR,2014,Female,aggravated-assault,2148
AR,2015,Female,aggravated-assault,2420
AR,2016,Female,aggravated-assault,2461
AR,2017,Female,aggravated-assault,2378
AR,2018,Female,aggravated-assault,2663
AR,2010,Unknown,aggravated-assault,507
AR,2011,Unknown,aggravated-assault,651
AR,2012,Unknown,aggravated-assault,658
AR,2013,Unknown,aggravated-assault,718
AR,2014,Unknown,aggravated-assault,755
AR,2015,Unknown,aggravated-assault,821
AR,2016,Unknown,aggravated-assault,835
AR,2017,Unknown,aggravated-assault,944
AR,2018,Unknown,aggravated-assault,825
AR,2010,Male,burglary,9523
AR,2011,Male,burglary,10239
AR,2012,Male,burglary,10526
AR,2013,Male,burglary,9592
AR,2014,Male,burglary,8041
AR,2015,Male,burglary,7593
AR,2016,Male,burglary,7817
AR,2017,Male,burglary,7266
AR,2018,Male,burglary,6614
AR,2010,Female,burglary,1881
AR,2011,Female,burglary,1960
AR,2012,Female,burglary,2149
AR,2013,Female,burglary,2020
AR,2014,Female,burglary,2024
AR,2015,Female,burglary,1980
AR,2016,Female,burglary,2043
AR,2017,Female,burglary,1950
AR,2018,Female,burglary,1933
AR,2010,Unknown,burglary,13145
AR,2011,Unknown,burglary,15227
AR,2012,Unknown,burglary,14494
AR,2013,Unknown,burglary,12831
AR,2014,Unknown,burglary,10413
AR,2015,Unknown,burglary,9649
AR,2016,Unknown,burglary,10286
AR,2017,Unknown,burglary,9176
AR,2018,Unknown,burglary,8126
AR,2010,Male,larceny,24322
AR,2011,Male,larceny,27615
AR,2012,Male,larceny,28540
AR,2013,Male,larceny,27832
AR,2014,Male,larceny,26358
AR,2015,Male,larceny,25720
AR,2016,Male,larceny,23640
AR,2017,Male,larceny,22478
AR,2018,Male,larceny,22277
AR,2010,Female,larceny,13751
AR,2011,Female,larceny,14839
AR,2012,Female,larceny,15859
AR,2013,Female,larceny,16349
AR,2014,Female,larceny,16481
AR,2015,Female,larceny,16518
