index,state,year,offense,count
0,AL,1991,aggravated-assault,21909
10238,AL,1991,arson,92
1474,AL,1991,burglary,47915
5906,AL,1991,homicide,434
2946,AL,1991,larceny,107142
4434,AL,1991,motor-vehicle-theft,12952
13152,AL,1991,property-crime,168101
7302,AL,1991,rape,1423
8772,AL,1991,robbery,5866
11666,AL,1991,violent-crime,29632
1,AL,1992,aggravated-assault,17637
10239,AL,1992,arson,462
1475,AL,1992,burglary,39716
5907,AL,1992,homicide,278
2947,AL,1992,larceny,107129
4435,AL,1992,motor-vehicle-theft,13071
13153,AL,1992,property-crime,160378
7303,AL,1992,rape,1279
8773,AL,1992,robbery,5210
11667,AL,1992,violent-crime,24404
2,AL,2006,aggravated-assault,30
10240,AL,2006,arson,5
1476,AL,2006,burglary,305
5908,AL,2006,homicide,2
2948,AL,2006,larceny,1920
4436,AL,2006,motor-vehicle-theft,156
13154,AL,2006,property-crime,2386
7304,AL,2006,rape,18
8774,AL,2006,robbery,82
11668,AL,2006,violent-crime,132
3,AL,2007,aggravated-assault,31
10241,AL,2007,arson,1
1477,AL,2007,burglary,372
2949,AL,2007,larceny,1914
4437,AL,2007,motor-vehicle-theft,158
13155,AL,2007,property-crime,2445
7305,AL,2007,rape,24
8775,AL,2007,robbery,72
11669,AL,2007,violent-crime,127
4,AL,2008,aggravated-assault,32
10242,AL,2008,arson,2
1478,AL,2008,burglary,439
5909,AL,2008,homicide,2
2950,AL,2008,larceny,1765
4438,AL,2008,motor-vehicle-theft,119
13156,AL,2008,property-crime,2325
7306,AL,2008,rape,17
8776,AL,2008,robbery,62
11670,AL,2008,violent-crime,113
5,AL,2009,aggravated-assault,32
10243,AL,2009,arson,1
1479,AL,2009,burglary,439
5910,AL,2009,homicide,2
2951,AL,2009,larceny,1764
4439,AL,2009,motor-vehicle-theft,87
13157,AL,2009,property-crime,2291
7307,AL,2009,rape,12
8777,AL,2009,robbery,44
11671,AL,2009,violent-crime,90
6,AL,2010,aggravated-assault,24
10244,AL,2010,arson,2
1480,AL,2010,burglary,398
5911,AL,2010,homicide,1
2952,AL,2010,larceny,1677
4440,AL,2010,motor-vehicle-theft,109
13158,AL,2010,property-crime,2186
7308,AL,2010,rape,4
8778,AL,2010,robbery,47
11672,AL,2010,violent-crime,76
7,AL,2011,aggravated-assault,17
10245,AL,2011,arson,2
1481,AL,2011,burglary,422
2953,AL,2011,larceny,1669
4441,AL,2011,motor-vehicle-theft,109
13159,AL,2011,property-crime,2202
7309,AL,2011,rape,8
8779,AL,2011,robbery,35
11673,AL,2011,violent-crime,60
8,AL,2012,aggravated-assault,24
10246,AL,2012,arson,1
1482,AL,2012,burglary,391
5912,AL,2012,homicide,2
2954,AL,2012,larceny,1720
4442,AL,2012,motor-vehicle-theft,88
13160,AL,2012,property-crime,2200
7310,AL,2012,rape,15
8780,AL,2012,robbery,46
11674,AL,2012,violent-crime,87
9,AL,2013,aggravated-assault,25
10247,AL,2013,arson,1
1483,AL,2013,burglary,345
5913,AL,2013,homicide,2
2955,AL,2013,larceny,2147
4443,AL,2013,motor-vehicle-theft,108
13161,AL,2013,property-crime,2601
7311,AL,2013,rape,10
8781,AL,2013,robbery,35
11675,AL,2013,violent-crime,72
10,AL,2014,aggravated-assault,32
10248,AL,2014,arson,1
1484,AL,2014,burglary,270
5914,AL,2014,homicide,1
2956,AL,2014,larceny,1915
4444,AL,2014,motor-vehicle-theft,79
13162,AL,2014,property-crime,2265
7312,AL,2014,rape,15
8782,AL,2014,robbery,50
11676,AL,2014,violent-crime,98
11,AL,2015,aggravated-assault,44
10249,AL,2015,arson,1
1485,AL,2015,burglary,307
5915,AL,2015,homicide,3
2957,AL,2015,larceny,2090
4445,AL,2015,motor-vehicle-theft,76
13163,AL,2015,property-crime,2474
7313,AL,2015,rape,23
8783,AL,2015,robbery,51
11677,AL,2015,violent-crime,121
12,AL,2016,aggravated-assault,37
10250,AL,2016,arson,2
1486,AL,2016,burglary,206
5916,AL,2016,homicide,3
2958,AL,2016,larceny,883
4446,AL,2016,motor-vehicle-theft,81
13164,AL,2016,property-crime,1172
7314,AL,2016,rape,20
8784,AL,2016,robbery,41
11678,AL,2016,violent-crime,101
13,AL,2017,aggravated-assault,29
10251,AL,2017,arson,2
1487,AL,2017,burglary,214
5917,AL,2017,homicide,2
2959,AL,2017,larceny,714
4447,AL,2017,motor-vehicle-theft,63
13165,AL,2017,property-crime,993
7315,AL,2017,rape,20
8785,AL,2017,robbery,34
11679,AL,2017,violent-crime,85
14,AL,2018,aggravated-assault,15
1488,AL,2018,burglary,155
5918,AL,2018,homicide,2
2960,AL,2018,larceny,751
4448,AL,2018,motor-vehicle-theft,57
13166,AL,2018,property-crime,963
7316,AL,2018,rape,16
8786,AL,2018,robbery,18
11680,AL,2018,violent-crime,51
1504,AR,1999,burglary,1
2976,AR,1999,larceny,12
4464,AR,1999,motor-vehicle-theft,6
13182,AR,1999,property-crime,19
8802,AR,1999,robbery,1
11715,AR,1999,violent-crime,1
30,AR,2000,aggravated-assault,21
10266,AR,2000,arson,2
1505,AR,2000,burglary,167
2977,AR,2000,larceny,1220
4465,AR,2000,motor-vehicle-theft,94
13183,AR,2000,property-crime,1483
7332,AR,2000,rape,14
8803,AR,2000,robbery,8
11696,AR,2000,violent-crime,43
31,AR,2001,aggravated-assault,295
10267,AR,2001,arson,5
1506,AR,2001,burglary,720
5932,AR,2001,homicide,1
2978,AR,2001,larceny,3123
4466,AR,2001,motor-vehicle-theft,281
13184,AR,2001,property-crime,4129
7333,AR,2001,rape,16
8804,AR,2001,robbery,75
11697,AR,2001,violent-crime,387
32,AR,2002,aggravated-assault,308
10268,AR,2002,arson,15
1507,AR,2002,burglary,1073
5933,AR,2002,homicide,3
2979,AR,2002,larceny,2852
4467,AR,2002,motor-vehicle-theft,309
13185,AR,2002,property-crime,4249
7334,AR,2002,rape,23
8805,AR,2002,robbery,96
11698,AR,2002,violent-crime,430
33,AR,2003,aggravated-assault,2062
10269,AR,2003,arson,224
1508,AR,2003,burglary,7845
5934,AR,2003,homicide,41
2980,AR,2003,larceny,14809
4468,AR,2003,motor-vehicle-theft,1073
13186,AR,2003,property-crime,23951
7335,AR,2003,rape,354
8806,AR,2003,robbery,364
11699,AR,2003,violent-crime,2821
34,AR,2004,aggravated-assault,4197
10270,AR,2004,arson,335
1509,AR,2004,burglary,15190
5935,AR,2004,homicide,70
2981,AR,2004,larceny,38663
4469,AR,2004,motor-vehicle-theft,3031
13187,AR,2004,property-crime,57219
7336,AR,2004,rape,714
8807,AR,2004,robbery,876
11700,AR,2004,violent-crime,5857
35,AR,2005,aggravated-assault,4913
10271,AR,2005,arson,427
1510,AR,2005,burglary,17964
5936,AR,2005,homicide,97
2982,AR,2005,larceny,47029
4470,AR,2005,motor-vehicle-theft,3912
13188,AR,2005,property-crime,69332
7337,AR,2005,rape,887
8808,AR,2005,robbery,1127
11701,AR,2005,violent-crime,7024
36,AR,2006,aggravated-assault,5260
10272,AR,2006,arson,409
1511,AR,2006,burglary,20233
5937,AR,2006,homicide,92
2983,AR,2006,larceny,48209
4471,AR,2006,motor-vehicle-theft,3895
13189,AR,2006,property-crime,72746
7338,AR,2006,rape,957
8809,AR,2006,robbery,1263
11702,AR,2006,violent-crime,7572
37,AR,2007,aggravated-assault,5549
10273,AR,2007,arson,435
1512,AR,2007,burglary,21867
5938,AR,2007,homicide,92
2984,AR,2007,larceny,52368
4472,AR,2007,motor-vehicle-theft,4111
13190,AR,2007,property-crime,78781
7339,AR,2007,rape,982
8810,AR,2007,robbery,1444
11703,AR,2007,violent-crime,8067
