state,year,offense,count
AL,1991,aggravated-assault,21909
AL,1991,arson,92
AL,1991,burglary,47915
AL,1991,homicide,434
AL,1991,larceny,107142
AL,1991,motor-vehicle-theft,12952
AL,1991,property-crime,168101
AL,1991,rape,1423
AL,1991,robbery,5866
AL,1991,violent-crime,29632
AL,1992,aggravated-assault,17637
AL,1992,arson,462
AL,1992,burglary,39716
AL,1992,homicide,278
AL,1992,larceny,107129
AL,1992,motor-vehicle-theft,13071
AL,1992,property-crime,160378
AL,1992,rape,1279
AL,1992,robbery,5210
AL,1992,violent-crime,24404
AL,2006,aggravated-assault,30
AL,2006,arson,5
AL,2006,burglary,305
AL,2006,homicide,2
AL,2006,larceny,1920
AL,2006,motor-vehicle-theft,156
AL,2006,property-crime,2386
AL,2006,rape,18
AL,2006,robbery,82
AL,2006,violent-crime,132
AL,2007,aggravated-assault,31
AL,2007,arson,1
AL,2007,burglary,372
AL,2007,larceny,1914
AL,2007,motor-vehicle-theft,158
AL,2007,property-crime,2445
AL,2007,rape,24
AL,2007,robbery,72
AL,2007,violent-crime,127
AL,2008,aggravated-assault,32
AL,2008,arson,2
AL,2008,burglary,439
AL,2008,homicide,2
AL,2008,larceny,1765
AL,2008,motor-vehicle-theft,119
AL,2008,property-crime,2325
AL,2008,rape,17
AL,2008,robbery,62
AL,2008,violent-crime,113
AL,2009,aggravated-assault,32
AL,2009,arson,1
AL,2009,burglary,439
AL,2009,homicide,2
AL,2009,larceny,1764
AL,2009,motor-vehicle-theft,87
AL,2009,property-crime,2291
AL,2009,rape,12
AL,2009,robbery,44
AL,2009,violent-crime,90
AL,2010,aggravated-assault,24
AL,2010,arson,2
AL,2010,burglary,398
AL,2010,homicide,1
AL,2010,larceny,1677
AL,2010,motor-vehicle-theft,109
AL,2010,property-crime,2186
AL,2010,rape,4
AL,2010,robbery,47
AL,2010,violent-crime,76
AL,2011,aggravated-assault,17
AL,2011,arson,2
AL,2011,burglary,422
AL,2011,larceny,1669
AL,2011,motor-vehicle-theft,109
AL,2011,property-crime,2202
AL,2011,rape,8
AL,2011,robbery,35
AL,2011,violent-crime,60
