state,year,offense,gender,count
AL,1991,aggravated-assault,Male,11230
AL,1991,aggravated-assault,Female,9592
AL,1991,aggravated-assault,Unknown,1087
AL,1991,arson,Male,32
AL,1991,arson,Female,26
AL,1991,arson,Unknown,16
AL,1991,burglary,Male,10640
AL,1991,burglary,Female,9635
AL,1991,burglary,Unknown,13663
AL,1991,homicide,Male,321
AL,1991,homicide,Female,107
AL,1991,homicide,Unknown,6
AL,1991,larceny,Male,23649
AL,1991,larceny,Female,17601
AL,1991,larceny,Unknown,30937
AL,1991,motor-vehicle-theft,Male,5113
AL,1991,motor-vehicle-theft,Female,2750
AL,1991,motor-vehicle-theft,Unknown,3936
AL,1991,property-crime,Male,39434
AL,1991,property-crime,Female,30012
AL,1991,property-crime,Unknown,48552
AL,1991,rape,Male,92
AL,1991,rape,Female,1331
AL,1991,rape,Unknown,0
AL,1991,robbery,Male,2344
AL,1991,robbery,Female,992
AL,1991,robbery,Unknown,736
AL,1991,violent-crime,Male,13987
AL,1991,violent-crime,Female,12022
AL,1991,violent-crime,Unknown,1829
AL,1992,aggravated-assault,Male,9008
AL,1992,aggravated-assault,Female,7748
AL,1992,aggravated-assault,Unknown,881
AL,1992,arson,Male,116
AL,1992,arson,Female,83
AL,1992,arson,Unknown,152
AL,1992,burglary,Male,8847
AL,1992,burglary,Female,8567
AL,1992,burglary,Unknown,11804
AL,1992,homicide,Male,216
AL,1992,homicide,Female,54
AL,1992,homicide,Unknown,8
AL,1992,larceny,Male,23139
AL,1992,larceny,Female,17720
AL,1992,larceny,Unknown,30675
AL,1992,motor-vehicle-theft,Male,5147
AL,1992,motor-vehicle-theft,Female,2752
AL,1992,motor-vehicle-theft,Unknown,3992
AL,1992,property-crime,Male,37249
AL,1992,property-crime,Female,29122
AL,1992,property-crime,Unknown,46623
AL,1992,rape,Male,74
AL,1992,rape,Female,1205
AL,1992,rape,Unknown,0
AL,1992,robbery,Male,2181
AL,1992,robbery,Female,892
AL,1992,robbery,Unknown,264
AL,1992,violent-crime,Male,11479
AL,1992,violent-crime,Female,9899
AL,1992,violent-crime,Unknown,1153
AL,2006,aggravated-assault,Male,22
AL,2006,aggravated-assault,Female,9
AL,2006,aggravated-assault,Unknown,0
AL,2006,arson,Male,1
AL,2006,arson,Female,0
AL,2006,arson,Unknown,0
AL,2006,burglary,Male,127
AL,2006,burglary,Female,72
AL,2006,burglary,Unknown,0
AL,2006,homicide,Male,1
AL,2006,homicide,Female,1
AL,2006,homicide,Unknown,0
AL,2006,larceny,Male,572
AL,2006,larceny,Female,561
AL,2006,larceny,Unknown,0
AL,2006,motor-vehicle-theft,Male,89
AL,2006,motor-vehicle-theft,Female,53
AL,2006,motor-vehicle-theft,Unknown,0
AL,2006,property-crime,Male,789
AL,2006,property-crime,Female,686
AL,2006,property-crime,Unknown,0
AL,2006,rape,Male,0
AL,2006,rape,Female,18
AL,2006,rape,Unknown,0
AL,2006,robbery,Male,77
AL,2006,robbery,Female,22
AL,2006,robbery,Unknown,0
AL,2006,violent-crime,Male,100
AL,2006,violent-crime,Female,50
AL,2006,violent-crime,Unknown,0
AL,2007,aggravated-assault,Male,22
AL,2007,aggravated-assault,Female,11
AL,2007,aggravated-assault,Unknown,0
AL,2007,arson,Male,0
AL,2007,arson,Female,0
AL,2007,arson,Unknown,0
AL,2007,burglary,Male,138
AL,2007,burglary,Female,111
AL,2007,burglary,Unknown,0
AL,2007,larceny,Male,564
AL,2007,larceny,Female,489
AL,2007,larceny,Unknown,0
AL,2007,motor-vehicle-theft,Male,85
AL,2007,motor-vehicle-theft,Female,52
AL,2007,motor-vehicle-theft,Unknown,0
AL,2007,property-crime,Male,787
AL,2007,property-crime,Female,652
AL,2007,property-crime,Unknown,0
AL,2007,rape,Male,4
AL,2007,rape,Female,21
AL,2007,rape,Unknown,0
AL,2007,robbery,Male,75
AL,2007,robbery,Female,31
AL,2007,robbery,Unknown,0
AL,2007,violent-crime,Male,101
AL,2007,violent-crime,Female,63
AL,2007,violent-crime,Unknown,0
AL,2008,aggravated-assault,Male,26
AL,2008,aggravated-assault,Female,8
AL,2008,aggravated-assault,Unknown,0
AL,2008,arson,Male,2
AL,2008,arson,Female,0
AL,2008,arson,Unknown,0
AL,2008,burglary,Male,180
AL,2008,burglary,Female,145
AL,2008,burglary,Unknown,0
AL,2008,homicide,Male,1
AL,2008,homicide,Female,1
AL,2008,homicide,Unknown,0
AL,2008,larceny,Male,512
AL,2008,larceny,Female,498
AL,2008,larceny,Unknown,0
AL,2008,motor-vehicle-theft,Male,65
AL,2008,motor-vehicle-theft,Female,44
AL,2008,motor-vehicle-theft,Unknown,0
AL,2008,property-crime,Male,759
AL,2008,property-crime,Female,687
AL,2008,property-crime,Unknown,0
AL,2008,rape,Male,2
AL,2008,rape,Female,15
AL,2008,rape,Unknown,0
AL,2008,robbery,Male,44
AL,2008,robbery,Female,23
AL,2008,robbery,Unknown,0
AL,2008,violent-crime,Male,73
AL,2008,violent-crime,Female,47
AL,2008,violent-crime,Unknown,0
AL,2009,aggravated-assault,Male,23
AL,2009,aggravated-assault,Female,10
AL,2009,aggravated-assault,Unknown,0
AL,2009,arson,Male,0
AL,2009,arson,Female,0
AL,2009,arson,Unknown,0
AL,2009,burglary,Male,166
AL,2009,burglary,Female,183
AL,2009,burglary,Unknown,0
AL,2009,homicide,Male,1
AL,2009,homicide,Female,1
AL,2009,homicide,Unknown,0
AL,2009,larceny,Male,509
AL,2009,larceny,Female,487
AL,2009,larceny,Unknown,0
AL,2009,motor-vehicle-theft,Male,48
AL,2009,motor-vehicle-theft,Female,29
AL,2009,motor-vehicle-theft,Unknown,0
AL,2009,property-crime,Male,723
AL,2009,property-crime,Female,699
AL,2009,property-crime,Unknown,0
AL,2009,rape,Male,2
AL,2009,rape,Female,10
AL,2009,rape,Unknown,0
AL,2009,robbery,Male,29
AL,2009,robbery,Female,23
AL,2009,robbery,Unknown,0
AL,2009,violent-crime,Male,55
AL,2009,violent-crime,Female,44
AL,2009,violent-crime,Unknown,0
AL,2010,aggravated-assault,Male,17
AL,2010,aggravated-assault,Female,7
AL,2010,aggravated-assault,Unknown,0
AL,2010,arson,Male,1
AL,2010,arson,Female,1
AL,2010,arson,Unknown,0
AL,2010,burglary,Male,151
AL,2010,burglary,Female,156
AL,2010,burglary,Unknown,1
AL,2010,homicide,Male,1
AL,2010,homicide,Female,0
AL,2010,homicide,Unknown,0
AL,2010,larceny,Male,480
AL,2010,larceny,Female,514
AL,2010,larceny,Unknown,1
AL,2010,motor-vehicle-theft,Male,59
AL,2010,motor-vehicle-theft,Female,42
AL,2010,motor-vehicle-theft,Unknown,0
AL,2010,property-crime,Male,691
AL,2010,property-crime,Female,713
AL,2010,property-crime,Unknown,2
AL,2010,rape,Male,0
AL,2010,rape,Female,4
AL,2010,rape,Unknown,0
AL,2010,robbery,Male,46
AL,2010,robbery,Female,17
AL,2010,robbery,Unknown,0
AL,2010,violent-crime,Male,64
AL,2010,violent-crime,Female,28
AL,2010,violent-crime,Unknown,0
AL,2011,aggravated-assault,Male,8
AL,2011,aggravated-assault,Female,9
AL,2011,aggravated-assault,Unknown,0
AL,2011,arson,Male,1
AL,2011,arson,Female,0
AL,2011,arson,Unknown,0
AL,2011,burglary,Male,185
AL,2011,burglary,Female,171
AL,2011,burglary,Unknown,0
AL,2011,larceny,Male,500
AL,2011,larceny,Female,499
AL,2011,larceny,Unknown,0
AL,2011,motor-vehicle-theft,Male,54
AL,2011,motor-vehicle-theft,Female,46
AL,2011,motor-vehicle-theft,Unknown,0
AL,2011,property-crime,Male,740
AL,2011,property-crime,Female,716
AL,2011,property-crime,Unknown,0
AL,2011,rape,Male,0
AL,2011,rape,Female,8
AL,2011,rape,Unknown,0
AL,2011,robbery,Male,30
AL,2011,robbery,Female,16
AL,2011,robbery,Unknown,0
AL,2011,violent-crime,Male,38
AL,2011,violent-crime,Female,33
AL,2011,violent-crime,Unknown,0
AL,2012,aggravated-assault,Male,14
AL,2012,aggravated-assault,Female,11
AL,2012,aggravated-assault,Unknown,0
AL,2012,arson,Male,1
AL,2012,arson,Female,0
AL,2012,arson,Unknown,0
AL,2012,burglary,Male,179
AL,2012,burglary,Female,168
AL,2012,burglary,Unknown,0
AL,2012,homicide,Male,2
AL,2012,homicide,Female,0
AL,2012,homicide,Unknown,0
AL,2012,larceny,Male,513
AL,2012,larceny,Female,553
AL,2012,larceny,Unknown,0
AL,2012,motor-vehicle-theft,Male,44
AL,2012,motor-vehicle-theft,Female,38
AL,2012,motor-vehicle-theft,Unknown,0
AL,2012,property-crime,Male,737
AL,2012,property-crime,Female,759
AL,2012,property-crime,Unknown,0
AL,2012,rape,Male,2
AL,2012,rape,Female,14
AL,2012,rape,Unknown,0
AL,2012,robbery,Male,36
AL,2012,robbery,Female,15
AL,2012,robbery,Unknown,0
AL,2012,violent-crime,Male,54
AL,2012,violent-crime,Female,40
AL,2012,violent-crime,Unknown,0
AL,2013,aggravated-assault,Male,17
AL,2013,aggravated-assault,Female,12
AL,2013,aggravated-assault,Unknown,0
AL,2013,arson,Male,0
AL,2013,arson,Female,0
AL,2013,arson,Unknown,0
AL,2013,burglary,Male,148
AL,2013,burglary,Female,143
AL,2013,burglary,Unknown,0
AL,2013,homicide,Male,0
AL,2013,homicide,Female,2
AL,2013,homicide,Unknown,0
AL,2013,larceny,Male,614
AL,2013,larceny,Female,582
AL,2013,larceny,Unknown,0
AL,2013,motor-vehicle-theft,Male,50
AL,2013,motor-vehicle-theft,Female,39
AL,2013,motor-vehicle-theft,Unknown,0
AL,2013,property-crime,Male,812
AL,2013,property-crime,Female,764
AL,2013,property-crime,Unknown,0
AL,2013,rape,Male,0
AL,2013,rape,Female,10
AL,2013,rape,Unknown,0
AL,2013,robbery,Male,29
AL,2013,robbery,Female,17
AL,2013,robbery,Unknown,0
AL,2013,violent-crime,Male,46
AL,2013,violent-crime,Female,41
AL,2013,violent-crime,Unknown,0
AL,2014,aggravated-assault,Male,19
AL,2014,aggravated-assault,Female,13
AL,2014,aggravated-assault,Unknown,0
AL,2014,arson,Male,0
AL,2014,arson,Female,0
AL,2014,arson,Unknown,0
AL,2014,burglary,Male,126
AL,2014,burglary,Female,107
AL,2014,burglary,Unknown,0
AL,2014,homicide,Male,0
AL,2014,homicide,Female,1
AL,2014,homicide,Unknown,0
AL,2014,larceny,Male,550
AL,2014,larceny,Female,442
AL,2014,larceny,Unknown,0
AL,2014,motor-vehicle-theft,Male,44
AL,2014,motor-vehicle-theft,Female,20
AL,2014,motor-vehicle-theft,Unknown,0
AL,2014,property-crime,Male,720
AL,2014,property-crime,Female,569
AL,2014,property-crime,Unknown,0
AL,2014,rape,Male,0
AL,2014,rape,Female,15
AL,2014,rape,Unknown,0
AL,2014,robbery,Male,33
AL,2014,robbery,Female,22
AL,2014,robbery,Unknown,0
AL,2014,violent-crime,Male,52
AL,2014,violent-crime,Female,51
AL,2014,violent-crime,Unknown,0
AL,2015,aggravated-assault,Male,31
AL,2015,aggravated-assault,Female,21
AL,2015,aggravated-assault,Unknown,0
AL,2015,arson,Male,1
AL,2015,arson,Female,0
AL,2015,arson,Unknown,0
AL,2015,burglary,Male,149
AL,2015,burglary,Female,116
AL,2015,burglary,Unknown,0
AL,2015,homicide,Male,2
AL,2015,homicide,Female,1
AL,2015,homicide,Unknown,0
AL,2015,larceny,Male,549
AL,2015,larceny,Female,496
AL,2015,larceny,Unknown,2
AL,2015,motor-vehicle-theft,Male,46
AL,2015,motor-vehicle-theft,Female,21
AL,2015,motor-vehicle-theft,Unknown,0
AL,2015,property-crime,Male,745
AL,2015,property-crime,Female,633
AL,2015,property-crime,Unknown,2
AL,2015,rape,Male,3
AL,2015,rape,Female,20
AL,2015,rape,Unknown,0
AL,2015,robbery,Male,45
AL,2015,robbery,Female,15
AL,2015,robbery,Unknown,0
AL,2015,violent-crime,Male,81
AL,2015,violent-crime,Female,57
AL,2015,violent-crime,Unknown,0
AL,2016,aggravated-assault,Male,31
AL,2016,aggravated-assault,Female,13
AL,2016,aggravated-assault,Unknown,0
AL,2016,arson,Male,0
AL,2016,arson,Female,0
AL,2016,arson,Unknown,0
